Subject,Question,Option A,Option B,Option C,Option D,Answer,Cluster
Chemistry,Which acid is used in pickling?,HCl,H2SO4,HNO3,CH3COOH,B,2
Chemistry,What is the basicity of H2CO3?,1,2,3,4,B,8
Chemistry,Which metal displaces hydrogen from steam?,Fe,Cu,Ag,Au,A,0
Chemistry,What is the product of NaOH + CO2 (excess)?,Na2CO3,NaHCO3,NaOH,Na2O,B,4
Chemistry,Which salt is used in fireworks?,KNO3,NaCl,CaCO3,Na2SO4,A,5
Chemistry,Which substance is hygroscopic?,Conc. H2SO4,Na2CO3·10H2O,CaCl2,NaNO3,A,7
Chemistry,Why is charcoal used in water filters?,Adsorption,Reaction,Precipitation,Neutralization,A,1
Chemistry,What is the main use of graphite in batteries?,Conductor,Electrode,Catalyst,Separator,B,1
Chemistry,Which reaction produces water gas?,C + H2O,C + O2,C + CO2,C + S,A,4
Chemistry,How is CO2 used in baking?,As leavening agent,As preservative,As sweetener,As colorant,A,1
Chemistry,What is the test for oxygen?,Relights glowing splint,Turns lime water milky,Burns with pop sound,Decolorizes bromine,A,8
Chemistry,Which coal type is used in power plants?,Bituminous,Anthracite,Lignite,Peat,A,0
Chemistry,What is the main use of ammonia liquor?,Fertilizer production,Fuel,Solvent,Cleaning,A,0
Chemistry,Which gas is used in welding?,C2H2,CH4,C2H4,C3H8,A,0
Chemistry,What is the formula for carbon monoxide?,CO,CO2,C2O,CO3,A,1
Chemistry,How is Ca(HCO3)2 formed?,CO2 through Ca(OH)2,Heating CaCO3,Precipitation,Direct combination,A,8
Chemistry,What is observed when ZnCO3 is heated?,It decomposes to ZnO and CO2,It melts,No change,It turns yellow,A,8
Chemistry,What is the main component of gasoline?,C5-C12 hydrocarbons,C1-C4 gases,C12-C18 compounds,Above C20 compounds,A,0
Chemistry,Which fraction is used in jet fuel?,Kerosene,Petrol,Diesel oil,Lubricating oil,A,0
Chemistry,What is the purpose of adding tetraethyl lead to petrol?,Anti-knock,Colorant,Preservative,Cleaning,A,7
Chemistry,Which is NOT derived from petroleum?,Coal tar,Natural gas,Plastics,Dyes,D,3
Chemistry,What is the main raw material for sulfuric acid production?,Sulphur,Air,Water,Limestone,A,3
Chemistry,Which industry produces glass?,Construction,Pharmaceutical,Electronics,Textile,A,3
Chemistry,What is the pH of 0.1M CH3COOH?,Around 3,7,12,1,A,8
Chemistry,Which salt is used in medicine as antacid?,NaHCO3,Na2CO3,NaCl,NaNO3,A,5
Chemistry,What is the chemical name for laughing gas?,N2O,NO,NO2,N2O4,A,0
Chemistry,Which property makes diamond useful in cutting tools?,Hardness,Electrical conductivity,Transparency,Solubility,A,1
Chemistry,What is the main use of carbon in water purification?,Adsorption,Reaction,Precipitation,Neutralization,A,1
Chemistry,Which gas is used in lighters?,C4H10,CH4,C2H2,C2H4,A,0
Chemistry,What is the main component of biogas?,CH4,CO2,H2,N2,A,0
Chemistry,Which process converts biomass to fuel?,Fermentation,Distillation,Combustion,Oxidation,A,4
Chemistry,What is the primary use of phosphoric acid?,Fertilizer production,Food additive,Cleaning,Fuel,A,2
Chemistry,Which industry produces detergents?,Chemical,Pharmaceutical,Textile,Construction,A,3
Chemistry,What is the formula for limestone?,CaCO3,CaO,Ca(OH)2,CaSO4,A,8
Chemistry,Which acid is found in vinegar?,CH3COOH,HCOOH,H2CO3,HCl,A,2
Chemistry,What is the basicity of HCl?,1,2,3,4,A,2
Chemistry,Which metal reacts vigorously with cold water?,K,Cu,Ag,Au,A,7
Chemistry,What is the product of NH3 + H2O?,NH4OH,NH4O,NH3·H2O,NH4,A,8
Chemistry,Which salt is used in plaster of Paris?,CaSO4·½H2O,CaSO4,CaCO3,CaO,A,5
Chemistry,Which substance is efflorescent?,Na2SO4·10H2O,CaCl2,SiO2,Conc. H2SO4,A,7
Chemistry,Why is graphite used in pencils?,Soft and marks paper,Hard and transparent,Electrical conductor,Soluble in water,A,1
Chemistry,What is the main use of activated carbon in gas masks?,Adsorb poisonous gases,React with gases,Precipitate gases,Neutralize gases,A,1
Chemistry,Which reaction is used in manufacture of urea?,CO2 + 2NH3,C + O2,C + H2O,C + N2,A,4
Chemistry,How is CO2 used in fire extinguishers?,Denser than air and doesn't support combustion,Lighter than air and flammable,Reacts with fire,Has cooling effect,A,1
Chemistry,What is the test for hydrogen?,Burns with pop sound,Turns lime water milky,Relights splint,Decolorizes bromine,A,8
Chemistry,Which coal type has highest heating value?,Anthracite,Bituminous,Lignite,Peat,A,0
Chemistry,What is the main use of coal in industry?,Power generation,Chemical production,Construction,Transportation,A,0
Chemistry,Which gas is used in balloons?,He,H2,O2,N2,A,0
Chemistry,What is the formula for carbonic acid?,H2CO3,HCO3-,CO3²-,CO2,A,2
Chemistry,How is NaHCO3 converted to Na2CO3?,By heating,By adding water,By cooling,By pressure,A,8
Chemistry,What is observed when PbCO3 is heated?,Decomposes to PbO and CO2,Melts,No change,Turns black,A,8
Chemistry,What is the main component of naptha?,C5-C9 hydrocarbons,C1-C4 gases,C10-C16 compounds,Above C20 compounds,A,7
Chemistry,Which fraction is used in making waxes?,Lubricating oil,Petrol,Kerosene,Bitumen,A,7
Chemistry,What is the purpose of catalytic converter in cars?,Reduce pollution,Increase power,Improve fuel economy,Add oxygen,A,4
Chemistry,What is the octane number of methane?,100,0,50,120,A,0
Chemistry,Which is a secondary petrochemical?,Polystyrene,Ethylene,Benzene,Propylene,A,3
Chemistry,What is the main raw material for polyester?,Petroleum,Coal,Natural gas,Air,A,3
Chemistry,Which industry produces paints?,Chemical,Pharmaceutical,Construction,Textile,A,3
Chemistry,What is the pH of 0.001M NaOH?,11,3,7,14,A,8
Chemistry,Which salt is used in matches?,KClO3,NaCl,CaCO3,NaNO3,A,5
Chemistry,What is the chemical name for blue vitriol?,CuSO4·5H2O,CuO,CuCO3,CuCl2,A,7
Chemistry,Which property allows diamond to cut glass?,Hardness,Electrical conductivity,Transparency,Solubility,A,1
Chemistry,What is the main use of carbon in filters?,Adsorption,Reaction,Precipitation,Neutralization,A,1
Chemistry,Which gas is used in anesthesia?,N2O,O2,N2,CO2,A,0
Chemistry,What is the main component of natural gas?,CH4,C2H6,C3H8,CO2,A,0
Chemistry,Which process converts waste to energy?,Incineration,Composting,Recycling,Landfilling,A,4
Chemistry,What is the primary use of acetic acid?,Food preservation,Cleaning,Solvent,Fuel,A,2
Chemistry,Which industry produces fertilizers?,Chemical,Pharmaceutical,Agriculture,Construction,A,3
Chemistry,What is the formula for washing soda?,Na2CO3·10H2O,Na2CO3,NaHCO3,NaOH,A,7
Chemistry,Which acid is used in explosives?,HNO3,HCl,H2SO4,CH3COOH,A,2
Chemistry,What is the basicity of H2SO3?,1,2,3,4,B,8
Chemistry,Which metal produces amphoteric hydroxide?,Al,Na,K,Ca,A,2
Chemistry,What is the product of SO3 + H2O?,H2SO4,H2SO3,SO2,H2S,A,8
Chemistry,Which salt is used in photography?,AgBr,NaCl,KNO3,CaCO3,A,5
Chemistry,Which substance is deliquescent?,NaOH,Na2CO3·10H2O,SiO2,CaCO3,A,7
Chemistry,Why is diamond used in drill bits?,Hardness,Electrical conductivity,Transparency,Solubility,A,1
Chemistry,What is the main use of carbon in metallurgy?,Reducing agent,Alloying,Flux,Catalyst,A,1
Chemistry,Which reaction produces producer gas?,C + air,C + steam,C + CO2,C + H2,A,4
Chemistry,How is CO2 used in refrigeration?,As dry ice,As liquid,As gas,As solid,A,1
Chemistry,What is the test for ammonia?,Turns red litmus blue,Turns blue litmus red,Turns lime water milky,Burns with pop sound,A,8
Chemistry,Which coal type is used in metallurgy?,Bituminous,Anthracite,Lignite,Peat,B,0
Chemistry,What is the main use of coke in blast furnace?,Reducing agent,Fuel,Flux,Alloy,A,0
Chemistry,Which gas is used in food packaging?,N2,O2,CO2,He,A,0
Chemistry,What is the formula for bicarbonate?,HCO3-,CO3²-,H2CO3,CO2,A,6
Chemistry,How is CaCO3 formed in nature?,From shells and skeletons,From volcanic action,From photosynthesis,From respiration,A,8
Chemistry,What is observed when Mg(HCO3)2 is heated?,Decomposes to MgCO3 and CO2,Melts,No change,Turns black,A,8
Chemistry,What is the main component of diesel oil?,C12-C18 hydrocarbons,C5-C12 compounds,C1-C4 gases,Above C20 compounds,A,0
Chemistry,Which fraction is used in lubricants?,Lubricating oil,Petrol,Kerosene,Bitumen,A,7
Chemistry,What is the purpose of cracking in petroleum industry?,Increase petrol yield,Remove sulphur,Add oxygen,Improve color,A,3
Chemistry,What is the octane number of toluene?,100,0,50,120,A,6
Chemistry,Which is a petrochemical feedstock?,Naphtha,Coal,Wood,Air,A,3
Chemistry,What is the main raw material for pharmaceuticals?,Petrochemicals,Coal,Natural gas,Minerals,A,3
Chemistry,Which industry produces cement?,Construction,Pharmaceutical,Chemical,Textile,A,3
Chemistry,What is the pH of rainwater?,5.6,7,8,4,A,2
Chemistry,Which salt is used in pottery?,Clay,NaCl,KNO3,CaCO3,A,5
Chemistry,What is the chemical name for gypsum?,CaSO4·2H2O,CaSO4,CaCO3,CaO,A,7
Chemistry,Which property makes graphite useful in brushes?,Electrical conductivity,Hardness,Transparency,Solubility,A,1
Chemistry,What is the main use of carbon in dating?,Radioactive dating,Chemical dating,Physical dating,Geological dating,A,1
Chemistry,Which gas is used in light bulbs?,Ar,N2,O2,He,A,0
Chemistry,What is the main component of LNG?,CH4,C2H6,C3H8,CO2,A,0
Chemistry,Which process converts coal to liquid fuel?,Liquefaction,Gasification,Distillation,Combustion,A,0
Chemistry,What is the primary use of citric acid?,Food additive,Cleaning,Solvent,Fuel,A,2
Chemistry,Which industry produces pesticides?,Agrochemical,Pharmaceutical,Chemical,Construction,A,3
Chemistry,What is the formula for quicklime?,CaO,Ca(OH)2,CaCO3,CaSO4,A,7
Chemistry,Which acid is used in digestion?,HCl,H2SO4,HNO3,CH3COOH,A,2
Chemistry,What is the basicity of H3BO3?,1,2,3,4,A,8
Chemistry,Which metal is stored in oil?,Na,K,Li,All of above,D,3
Chemistry,What is the product of P2O5 + H2O?,H3PO4,H3PO3,H4P2O7,H2PO4,A,8
Chemistry,Which salt is used in baking?,NaHCO3,Na2CO3,NaCl,NaNO3,A,5
Chemistry,Which substance is hygroscopic?,P2O5,Na2CO3·10H2O,CaCl2,NaNO3,A,7
Chemistry,Why is charcoal used in art?,Drawing,Painting,Sculpture,All of above,D,1
Chemistry,What is the main use of graphite in nuclear reactors?,Moderator,Fuel,Cladding,Coolant,A,1
Chemistry,Which reaction is used in manufacture of methanol?,CO + 2H2,C + O2,C + H2O,C + CO2,A,4
Chemistry,How is CO2 used in welding?,As shielding gas,As fuel,As oxidizer,As coolant,A,1
Chemistry,What is the test for chlorine?,Bleaches damp litmus paper,Turns lime water milky,Burns with pop sound,Relights splint,A,7
Chemistry,Which coal type is used for cooking?,Bituminous,Anthracite,Lignite,Peat,A,0
Chemistry,What is the main use of coal tar in medicine?,Antiseptic,Fuel,Solvent,Colorant,A,0
Chemistry,Which gas is used in neon signs?,Ne,He,Ar,Kr,A,0
Chemistry,What is the formula for carbon disulfide?,CS2,COS,C2S,CS,A,6
Chemistry,What is the main component of lubricating oil?,C20+ hydrocarbons,C5-C12 compounds,C1-C4 gases,C12-C18 compounds,A,3
Chemistry,Which fraction is used in road construction?,Bitumen,Petrol,Kerosene,Diesel oil,A,7
Chemistry,What is the purpose of reforming in petroleum industry?,Improve octane number,Remove water,Add sulphur,Reduce viscosity,A,3
Chemistry,What is the octane number of ethanol?,100,0,50,108,A,4
Chemistry,Which is a tertiary petrochemical?,Pharmaceuticals,Fuels,Solvents,Plastics,A,3
Chemistry,What is the main raw material for synthetic fibers?,Petroleum,Coal,Natural gas,Air,A,3
Chemistry,Which industry produces ceramics?,Construction,Pharmaceutical,Chemical,Textile,A,3
Chemistry,What is the pH of milk?,6.5,7,8,5,A,2
Chemistry,Which salt is used in black powder?,KNO3,S,C,All of above,D,5
Chemistry,What is the chemical name for green vitriol?,FeSO4·7H2O,Fe2O3,FeCO3,FeCl3,A,7
Chemistry,Which property makes diamond valuable in industry?,Hardness,Beauty,Conductivity,Solubility,A,1
Chemistry,What is the main use of carbon in energy storage?,Batteries,Fuel cells,Capacitors,All of above,D,1
Chemistry,Which gas is used in weather balloons?,He,H2,O2,N2,A,0
Chemistry,What is the main component of biogas?,CH4,CO2,H2,N2,A,0
Chemistry,Which process converts organic waste to fertilizer?,Composting,Incineration,Landfilling,Recycling,A,4
Chemistry,What is the primary use of formic acid?,Preservative,Cleaning,Solvent,Fuel,A,2
Chemistry,Which industry produces soaps?,Chemical,Pharmaceutical,Textile,Construction,A,3
Chemistry,What is the formula for plaster of Paris?,CaSO4·½H2O,CaSO4,CaCO3,CaO,A,7
Chemistry,Which acid is used in car batteries?,H2SO4,HCl,HNO3,CH3COOH,A,2
Chemistry,What is the basicity of H4P2O7?,4,3,2,1,A,8
Chemistry,Which metal is used in thermite process?,Al,Fe,Cu,Zn,A,0
Chemistry,What is the product of CaC2 + H2O?,C2H2 + Ca(OH)2,CH4 + CaO,C2H4 + CaO,CO2 + CaH2,A,8
Chemistry,Which salt is used in dyeing?,Alum,NaCl,KNO3,CaCO3,A,5
Chemistry,Which substance is efflorescent?,MgSO4·7H2O,CaCl2,SiO2,Conc. H2SO4,A,7
Chemistry,Why is graphite used in crucibles?,High melting point,Electrical conductivity,Transparency,Solubility,A,1
Chemistry,What is the main use of carbon in water treatment?,Filtration,Disinfection,Softening,Coagulation,A,1
Chemistry,Which reaction is used in blast furnace for iron production?,C reduces Fe2O3,C reduces CO2,C reduces H2O,C reduces SO2,A,0
Chemistry,How is CO2 used in oil recovery?,Enhanced oil recovery,Drilling,Refining,Transportation,A,1
Chemistry,What is the test for water vapor?,Turns cobalt chloride paper pink,Turns lime water milky,Burns with pop sound,Relights splint,A,8
Chemistry,Which coal type is most abundant?,Bituminous,Anthracite,Lignite,Peat,A,0
Chemistry,What is the main use of coal in chemistry?,Source of organic compounds,Fuel,Construction,Transportation,A,0
Chemistry,Which gas is used in deep sea diving?,He-O2 mixture,N2,O2,CO2,A,0
Chemistry,What is the formula for carbonyl chloride?,COCl2,CO2Cl,COCl,C2OCl2,A,6
Chemistry,How is K2CO3 prepared commercially?,From KCl and CO2,From wood ash,From limestone,From coal,A,8
Chemistry,What is observed when CaCO3 is strongly heated?,Decomposes to CaO and CO2,Melts,No change,Turns black,A,8
Chemistry,What is the main component of petroleum jelly?,C20+ hydrocarbons,C5-C12 compounds,C1-C4 gases,C12-C18 compounds,A,3
Chemistry,Which fraction is used in solvents?,Petroleum ether,Petrol,Kerosene,Diesel oil,A,7
Chemistry,What is the purpose of isomerization in petroleum industry?,Convert straight to branched chains,Remove impurities,Add oxygen,Reduce viscosity,A,3
Chemistry,What is the octane number of 2-methylpentane?,73,0,100,50,A,6
Chemistry,Which is a quaternary petrochemical?,Specialty chemicals,Fuels,Plastics,Solvents,A,7
Chemistry,What is the main raw material for explosives?,Toluene,Benzene,Xylene,All of above,D,3
Chemistry,Which industry produces rubber?,Chemical,Pharmaceutical,Automotive,Textile,A,3
Chemistry,What is the pH of blood?,7.4,7,8,6,A,2
Chemistry,Which salt is used in tanning?,Cr2(SO4)3,NaCl,KNO3,CaCO3,A,5
Chemistry,What is the chemical name for oil of vitriol?,H2SO4,HCl,HNO3,CH3COOH,A,7
Chemistry,Which property makes diamond useful in electronics?,Thermal conductivity,Electrical insulation,Transparency,Hardness,A,1
Chemistry,What is the main use of carbon in medicine?,Drug delivery,Implants,Diagnostics,All of above,D,1
Chemistry,Which gas is used in food preservation?,CO2,N2,O2,He,A,0
Chemistry,What is the main component of syngas?,CO and H2,CO and N2,CH4 and H2,CO2 and H2,A,0
Chemistry,Which process converts coal to town gas?,Destructive distillation,Gasification,Liquefaction,Combustion,A,0
Chemistry,What is the primary use of oxalic acid?,Cleaning,Food additive,Solvent,Fuel,A,2
Chemistry,Which industry produces adhesives?,Chemical,Pharmaceutical,Construction,Textile,A,3
Chemistry,What is the formula for Epsom salt?,MgSO4·7H2O,MgSO4,MgCO3,MgO,A,5
Chemistry,Which acid is used in etching glass?,HF,HCl,HNO3,H2SO4,A,2
Chemistry,What is the basicity of H2S?,2,1,3,4,A,8
Chemistry,Which metal is used in batteries?,Zn,Cu,Ag,Au,A,7
Chemistry,What is the product of Cl2 + H2O?,HCl + HOCl,HCl + O2,H2 + Cl2O,H2O2 + Cl2,A,8
Chemistry,Which salt is used in fireworks for red color?,Sr(NO3)2,NaCl,KNO3,CaCO3,A,5
Chemistry,Which substance is deliquescent?,KOH,Na2CO3·10H2O,SiO2,CaCO3,A,7
Chemistry,Why is diamond used in abrasives?,Hardness,Beauty,Conductivity,Solubility,A,1
Chemistry,What is the main use of carbon in electronics?,Semiconductors,Conductors,Insulators,All of above,A,1
Chemistry,Which reaction is used in manufacture of urea?,2NH3 + CO2 → NH2CONH2 + H2O,N2 + 3H2 → 2NH3,C + O2 → CO2,C + H2O → CO + H2,A,4
Chemistry,How is CO2 used in agriculture?,Plant growth enhancement,Soil treatment,Water treatment,Pest control,A,1
Chemistry,What is the test for sulfur dioxide?,Turns acidified K2Cr2O7 green,Turns lime water milky,Burns with pop sound,Relights splint,A,8
Chemistry,Which coal type is used in cement production?,Bituminous,Anthracite,Lignite,Peat,A,0
Chemistry,What is the main use of coal in power plants?,Electricity generation,Heating,Chemical production,Transportation,A,0
Chemistry,Which gas is used in anesthesia?,N2O,O2,N2,CO2,A,0
Chemistry,What is the formula for phosgene?,COCl2,CO2Cl,COCl,C2OCl2,A,8
Chemistry,How is Na2CO3 used in water treatment?,Water softening,Disinfection,Filtration,Coagulation,A,8
Chemistry,What is the main component of paraffin wax?,C20+ hydrocarbons,C5-C12 compounds,C1-C4 gases,C12-C18 compounds,A,7
Chemistry,Which fraction is used in dry cleaning?,Petroleum ether,Petrol,Kerosene,Diesel oil,A,7
Chemistry,What is the purpose of alkylation in petroleum industry?,Produce high-octane gasoline,Remove sulphur,Add oxygen,Reduce viscosity,A,3
Chemistry,What is the octane number of isooctane?,100,0,50,25,A,6
Chemistry,Which is a petrochemical derivative?,Synthetic rubber,Natural rubber,Wood,Mineral,A,7
Chemistry,What is the main raw material for polymers?,Ethylene,Propylene,Butadiene,All of above,D,3
Chemistry,Which industry produces cosmetics?,Chemical,Pharmaceutical,Textile,Construction,A,3
Chemistry,What is the pH of lemon juice?,2,7,8,5,A,2
Chemistry,Which salt is used in blue prints?,Ferricyanide,Chloride,Nitrate,Carbonate,A,5
Chemistry,What is the chemical name for muriatic acid?,HCl,H2SO4,HNO3,CH3COOH,A,2
Chemistry,Which property makes graphite useful in composites?,Strength and lightness,Electrical conductivity,Transparency,Solubility,A,1
Chemistry,What is the main use of carbon in sports equipment?,Lightweight materials,Strength,Durability,All of above,D,1
Chemistry,Which gas is used in light bulbs?,Ar,N2,O2,He,A,0
Chemistry,What is the main component of natural gas?,CH4,C2H6,C3H8,CO2,A,0
Chemistry,Which process converts biomass to biogas?,Anaerobic digestion,Composting,Incineration,Gasification,A,4
Chemistry,What is the primary use of tartaric acid?,Food additive,Cleaning,Solvent,Fuel,A,2
Chemistry,Which industry produces insecticides?,Agrochemical,Pharmaceutical,Chemical,Construction,A,3
Chemistry,What is the formula for calcite?,CaCO3,CaO,Ca(OH)2,CaSO4,A,8
Chemistry,Which acid is used in lead storage batteries?,H2SO4,HCl,HNO3,CH3COOH,A,2
Chemistry,What is the basicity of H3PO2?,1,2,3,4,A,8
Chemistry,Which metal is used in galvanization?,Zn,Fe,Cu,Al,A,1
Chemistry,What is the product of SO2 + H2O?,H2SO3,H2SO4,SO3,H2S,A,8
Chemistry,Which salt is used in medicine as purgative?,MgSO4,NaCl,KNO3,CaCO3,A,5
Chemistry,Which substance is hygroscopic?,Conc. H2SO4,Na2CO3·10H2O,CaCl2,NaNO3,A,7
Chemistry,Why is diamond used in precision instruments?,Hardness and durability,Electrical conductivity,Transparency,Solubility,A,1
Chemistry,What is the main use of carbon in environmental protection?,Air and water purification,Soil treatment,Waste management,All of above,D,1
Chemistry,Which reaction is used in production of silicon?,C reduces SiO2,C reduces CO2,C reduces H2O,C reduces SO2,A,4
Chemistry,How is CO2 used in beverage industry?,Carbonation,Preservation,Sweetening,Coloring,A,1
English,Choose the correctly spelt word.,Enviroment,Environment,Environmnt,Environmment,B,4
English,Choose the word that best completes the sentence: She has a good _____ of humor.,sense,scent,scene,sign,A,4
English,Choose the opposite of the underlined word: The boy was *polite*.,rude,gentle,kind,quiet,A,7
English,Choose the synonym of the underlined word: The task was *difficult*.,easy,hard,simple,light,B,7
English,Choose the correctly spelt word.,Recieve,Receive,Receeve,Recive,B,4
English,Choose the correct word: The cat chased _____ tail.,it,its,it's,its',B,4
English,Choose the correct option: The teacher praised the boys for _____ punctual.,been,being,be,been,A,4
English,Choose the opposite of *ancient*.,old,modern,antique,aged,B,7
English,Choose the synonym of *brief*.,long,short,tall,wide,B,6
English,Choose the correctly spelt word.,Occurence,Occurrence,Ocurence,Occurencee,B,4
English,Choose the appropriate word: The plane will take _____ at noon.,off,up,on,away,A,4
English,Choose the correct option: The bag belongs to _____.,I,me,myself,my,B,4
English,Choose the correct synonym of *enormous*.,tiny,huge,small,weak,B,2
English,Choose the correct antonym of *arrival*.,coming,departure,visit,entrance,B,7
English,Choose the correctly spelt word.,Adress,Address,Adreess,Addres,B,4
English,Choose the correct word: The boy fell _____ the river.,into,onto,in,on,A,4
English,Choose the correct option: The sun rises in the _____.,west,east,north,south,B,4
English,Choose the word that best completes the sentence: She sings _____.,sweet,sweetly,sweety,sweetness,B,4
English,Choose the opposite of *victory*.,loss,defeat,win,failure,B,7
English,Choose the synonym of *fortunate*.,happy,lucky,grateful,thankful,B,2
English,Choose the correctly spelt word.,Seperate,Separate,Seperete,Seperrate,B,4
English,Choose the correct option: The book is lying _____ the table.,in,on,at,under,B,4
English,Choose the correct option: He is older _____ I am.,than,then,that,those,A,8
English,Choose the correct word: The man _____ the bell.,rang,run,ring,rung,A,8
English,Choose the opposite of *love*.,like,hate,admire,care,B,7
English,Choose the correct synonym of *silent*.,quiet,noisy,loud,shouting,A,7
English,Choose the correctly spelt word.,Febuary,February,Febraury,Februery,B,4
English,Choose the correct option: The train will arrive _____ 6 o’clock.,in,on,at,by,C,4
English,Choose the correct word: She divided the cake _____ her children.,between,among,with,to,B,4
English,Choose the correct synonym of *beautiful*.,ugly,handsome,pretty,bad,C,2
English,Choose the opposite of *strong*.,weak,sturdy,powerful,tough,A,7
English,Choose the correctly spelt word.,Definately,Definetly,Definitely,Definatelye,C,4
English,Choose the correct option: The man walked _____ the room quietly.,into,onto,on,in,A,8
English,Choose the correct synonym of *brave*.,cowardly,fearful,bold,weak,C,2
English,Choose the opposite of *victory*.,defeat,success,achievement,glory,A,7
English,Choose the correctly spelt word.,Occassion,Occasion,Ocassion,Occasson,B,4
English,Choose the correct word: The children are playing _____ the garden.,in,on,at,by,A,4
English,Choose the correct synonym of *tired*.,sleepy,weak,exhausted,rested,C,2
English,Choose the opposite of *easy*.,hard,soft,simple,light,A,7
English,Choose the correctly spelt word.,Accomodation,Accommodation,Acommodation,Accomadation,B,4
English,Choose the correct option: The dog ran _____ the street.,across,through,along,by,A,8
English,Choose the correct synonym of *angry*.,furious,glad,pleased,joyful,A,2
English,Choose the opposite of *beginning*.,start,opening,end,initiation,C,7
English,Choose the correctly spelt word.,Comittee,Committee,Committie,Comittee,B,4
English,Choose the correct word: The man drove _____ the tunnel.,into,onto,on,across,A,8
English,Choose the synonym of *happy*.,sad,cheerful,angry,unhappy,B,2
English,Choose the opposite of *buy*.,sell,exchange,give,borrow,A,7
English,Choose the correctly spelt word.,Governement,Government,Governmant,Governement,B,4
English,Choose the correct option: The boy jumped _____ the wall.,over,above,through,into,A,4
English,Choose the correct synonym of *clever*.,stupid,brilliant,dull,foolish,B,2
English,Choose the opposite of *empty*.,vacant,filled,blank,hollow,B,7
English,Choose the correct option: He _____ going to school today.,is,are,am,were,A,8
English,Choose the correct sentence.,She don’t like rice.,She doesn’t likes rice.,She doesn’t like rice.,She don’t likes rice.,C,4
English,Choose the correct option: The boys _____ playing football.,is,was,are,has,C,4
English,Choose the correct form: The man _____ here yesterday.,come,came,comes,coming,B,8
English,Choose the correct word: Ade and Bola _____ gone home.,has,have,is,was,B,4
English,Choose the correct option: He _____ a car last week.,buys,buy,bought,buying,C,8
English,Choose the correct pronoun: This pen is _____.,my,mine,me,I,B,4
English,Choose the correct preposition: The cat jumped _____ the chair.,on,at,over,into,A,4
English,Choose the correct option: They _____ in Lagos for ten years.,live,are living,have lived,has lived,C,4
English,Choose the correct form: The teacher made the students _____ the class.,cleaned,clean,cleans,cleaning,B,4
English,Choose the correct sentence: The children are _____ to school.,go,goes,going,gone,C,4
English,Choose the correct tense: The letter _____ yesterday.,was posted,posted,is posted,posting,A,8
English,Choose the correct form: She _____ here before.,was,has been,had,have,B,4
English,Choose the correct sentence: The baby _____ since morning.,cry,cries,has been crying,cried,C,4
English,Choose the correct option: He is taller _____ I am.,than,then,that,those,A,8
English,Choose the correct tense: I _____ a book when she came in.,read,was reading,reading,reads,B,4
English,Choose the correct option: They _____ the house before we arrived.,left,leave,leaves,leaving,A,4
English,Choose the correct form: He _____ to the market every Saturday.,go,goes,going,gone,B,8
English,Choose the correct option: The woman _____ cooking when I arrived.,is,was,were,be,B,4
English,Choose the correct tense: The teacher _____ us next week.,teach,teaching,will teach,teached,C,8
English,Choose the correct option: The boy _____ his homework before dinner.,had done,has done,does,doing,A,8
English,Choose the correct option: She _____ a song now.,sings,sang,is singing,sung,C,4
English,Choose the correct pronoun: The book belongs to _____.,she,her,hers,he,C,4
English,Choose the correct option: I have not seen him _____ Monday.,since,for,from,at,A,8
English,Choose the correct article: He bought _____ orange.,a,an,the,that,B,8
English,Choose the correct conjunction: He came _____ he was invited.,because,although,unless,if,A,8
English,Choose the correct option: He can neither read _____ write.,and,or,nor,but,C,8
English,Choose the correct sentence: The books on the table _____ mine.,is,was,are,be,C,4
English,Choose the correct form: I am not interested _____ that.,on,in,at,with,B,4
English,Choose the correct option: The man _____ by the police.,is arrest,was arrested,were arrested,has arrest,B,8
English,Choose the correct tense: He _____ breakfast before 8 a.m. every day.,take,took,takes,taking,C,8
English,Choose the correct option: They _____ to Abuja last week.,go,going,went,goes,C,8
English,Choose the correct pronoun: This car is _____.,her,hers,she,he,B,4
English,Choose the correct option: The children _____ playing now.,was,were,are,is,C,4
English,Choose the correct sentence: He does not _____ to school late.,go,goes,going,gone,A,8
English,Choose the correct option: I _____ finished my homework.,has,have,had,having,B,4
English,Choose the correct preposition: The man is standing _____ the door.,by,at,on,under,B,8
English,Choose the correct tense: The bell _____ before we entered the hall.,rang,rung,ring,run,A,4
English,Choose the correct option: She _____ to church every Sunday.,go,goes,going,gone,B,4
English,Choose the correct option: The boy _____ his book yesterday.,forgets,forgot,forget,forgetting,B,8
English,Choose the correct preposition: The girl sat _____ her mother.,beside,behind,between,across,A,4
English,Choose the correct article: He is _____ honest man.,a,an,the,that,B,8
English,Choose the correct sentence: The teacher asked if I _____ ready.,am,was,were,be,B,4
English,Choose the correct option: The students _____ the test now.,write,are writing,writes,was writing,B,4
English,Choose the correct tense: They _____ in this school since 2010.,study,studied,have studied,studying,C,4
English,Identify the noun in this sentence: The boy kicked the ball.,boy,kicked,the,ball,D,4
English,Which of these words is a verb?,happy,run,blue,quickly,B,1
English,Which word is an adjective?,slowly,beautiful,run,kindly,B,2
English,Which of these is a pronoun?,John,She,Run,Blue,B,4
English,Which of the following is an adverb?,fast,table,John,beautiful,A,1
English,Choose the correct preposition: The book is _____ the table.,in,on,under,over,C,4
English,Which of these words is a conjunction?,and,because,but,all of the above,D,1
English,Identify the interjection: _____! That was a close call.,Hey,And,Quick,The,A,1
