Mathematics,Find the area of a trapezium with sides 8 cm, 12 cm, height 5 cm.,40 cm²,45 cm²,50 cm²,55 cm²,C
Mathematics,Find the area of a circle whose radius is 10 cm (π=3.142).,310 cm²,314.2 cm²,320 cm²,330 cm²,B
Mathematics,Find the area of a parallelogram with base 9 cm and height 8 cm.,60 cm²,64 cm²,70 cm²,72 cm²,D
Mathematics,Find the volume of a cone whose base radius is 3.5 cm and height 9 cm.,115 cm³,116 cm³,115.5 cm³,120 cm³,C
Mathematics,Find the area of a triangle with base 12 cm and height 5 cm.,25 cm²,30 cm²,32 cm²,35 cm²,B
Mathematics,Find the area of a rhombus with diagonals 10 cm and 8 cm.,35 cm²,38 cm²,39 cm²,40 cm²,D
Mathematics,Find the volume of a sphere whose diameter is 14 cm.,1420 cm³,1430 cm³,1436 cm³,1440 cm³,C
Mathematics,Find the area of a sector with radius 14 cm and angle 60° (π=22/7).,102.67 cm²,103 cm²,104 cm²,105 cm²,A
Mathematics,Find the volume of a cylinder whose height is 10 cm and diameter 14 cm (π=22/7).,1536 cm³,1539 cm³,1540 cm³,1545 cm³,B
Mathematics,Find the area of a square with diagonal 10 cm.,48 cm²,49 cm²,50 cm²,51 cm²,C
Mathematics,If sinθ=3/5 find cosθ.,4/5,5/4,3/4,2/5,A
Mathematics,If cosθ=4/5 find sinθ.,3/5,4/5,2/5,1/5,A
Mathematics,If tanθ=3/4 find sinθ.,3/5,4/5,5/3,5/4,A
Mathematics,If sinθ=5/13 find cosθ.,12/13,5/12,5/13,13/12,A
Mathematics,If cosθ=12/13 find tanθ.,3/4,4/3,5/12,5/13,A
Mathematics,If tanθ=4/3 find sinθ.,3/5,4/5,5/3,5/4,B
Mathematics,If sinθ=1/2 find θ.,15°,30°,45°,60°,B
Mathematics,If cosθ=√3/2 find θ.,30°,45°,60°,90°,C
Mathematics,If tanθ=1 find θ.,30°,45°,60°,90°,B
Mathematics,If sin30°=?,1/2,√3/2,√2/2,0,A
Mathematics,If cos60°=?,1/2,√3/2,√2/2,0,A
Mathematics,If tan45°=?,0,1,√3,∞,B
Mathematics,Find sin60°.,1/2,√3/2,√2/2,1,B
Mathematics,Find cos30°.,√3/2,1/2,√2/2,1,A
Mathematics,Find tan30°.,1/√3,√3,1,0,A
Mathematics,Find sin45°.,1/2,√2/2,√3/2,1,B
Mathematics,Find cos45°.,1/2,√2/2,√3/2,1,B
Mathematics,Find tan60°.,√3,1/√3,1,2,A
Mathematics,If sinθ=0.8 find cosθ.,0.6,0.8,0.5,0.7,A
Mathematics,If cosθ=0.6 find sinθ.,0.6,0.8,0.5,0.4,B
Mathematics,If tanθ=0.75 find sinθ and cosθ.,3/5 and 4/5,4/5 and 3/5,1/2 and √3/2,√3/2 and 1/2,A
Mathematics,Find the height of a tree 20 m away when angle of elevation is 30°.,5√3 m,10√3 m,15√3 m,20√3 m,B
Mathematics,Find the angle of elevation of a tower 20 m high seen from 20 m away.,30°,45°,60°,75°,B
Mathematics,Find the length of a ladder 5 m high against a wall making 60° with ground.,8 m,9 m,10 m,11 m,C
Mathematics,Find the height of a building if a 10 m ladder makes 30° with the ground.,3 m,5 m,7 m,8 m,B
Mathematics,Find the distance of a ship from the foot of a lighthouse 40 m high at elevation 30°.,50 m,60 m,70 m,80 m,B
Mathematics,Find sin²θ + cos²θ.,0,1,2,3,B
Mathematics,Find tanθ if sinθ=3/5 and cosθ=4/5.,3/5,3/4,4/3,5/4,B
Mathematics,If sinθ=4/5 find tanθ.,3/5,3/4,4/3,5/3,B
Mathematics,Find angle whose sine is 0.7071.,30°,45°,60°,90°,B
Mathematics,Find angle whose cosine is 0.5.,30°,45°,60°,90°,C
Mathematics,Find angle whose tangent is √3.,30°,45°,60°,90°,C
Mathematics,If tanθ=1/√3 find θ.,30°,45°,60°,90°,A
Mathematics,Find the height of a tower 50 m from an observer at elevation 45°.,25 m,50 m,75 m,100 m,B
Mathematics,Find the distance of a car from a tower 20 m high at angle of elevation 60°.,10 m,15 m,20/√3 m,40 m,C
Mathematics,Find the bearing of east from north.,45°,60°,90°,120°,C
Mathematics,Find the bearing of south from west.,180°,225°,270°,315°,B
Mathematics,Find the bearing of west from north.,180°,225°,270°,315°,C
Mathematics,Find the bearing of north-east.,30°,45°,60°,90°,B
Mathematics,Find the bearing of south-east.,90°,120°,135°,180°,C
Mathematics,Find the bearing of south-west.,180°,210°,225°,270°,C
Mathematics,Find the bearing of north-west.,270°,300°,315°,330°,C
Mathematics,If the bearing of B from A is 060°, find bearing of A from B.,120°,150°,240°,240°,C
Mathematics,If the bearing of C from D is 210°, find bearing of D from C.,30°,90°,120°,300°,D
Mathematics,If a ship sails from port A to B on a bearing of 045°, what direction is that?,North-East,South-East,South-West,North-West,A
Mathematics,Find the compass direction corresponding to bearing 135°.,North-East,South-East,South-West,North-West,B
Mathematics,Find the compass direction corresponding to bearing 225°.,North-East,South-East,South-West,North-West,C
Mathematics,Find the compass direction corresponding to bearing 315°.,North-East,South-East,South-West,North-West,D
Mathematics,If a ship sails 10 km east then 10 km north, find its bearing from start.,30°,45°,60°,90°,B
Mathematics,If sinA=0.6 find A.,30°,36.9°,45°,60°,B
Mathematics,Find the value of sin90°.,0,1,1/2,√3/2,B
Mathematics,Find cos0°.,0,1,1/2,√3/2,B
Mathematics,Find tan0°.,0,1,√3,∞,A
Mathematics,Find the distance between points (2,3) and (5,7).,3,4,5,6,C
Mathematics,Find the midpoint of (2,4) and (6,8).,(4,6),(3,6),(5,5),(4,7),A
Mathematics,Find the slope of the line joining (2,3) and (6,7).,1,2,3,4,A
Mathematics,Find the equation of a line with slope 2 passing through (1,3).,y=2x+1,y=2x+3,y=2x−3,y=3x+2,B
Mathematics,Find the gradient of the line joining (1,2) and (4,10).,2,3,4,5,B
Mathematics,Find the distance between (0,0) and (3,4).,3,4,5,6,C
Mathematics,Find the coordinates of the midpoint between (−2,5) and (6,−3).,(2,1),(2,−1),(3,2),(3,−1),A
Mathematics,Find the slope of the line passing through (2,−1) and (4,3).,1,2,3,4,B
Mathematics,Find the equation of the line with slope 1 and y-intercept 2.,y=x+2,y=x−2,y=2x+1,y=2x−1,A
Mathematics,Find the y-intercept of the line y=3x+5.,3,5,−3,−5,B
Mathematics,Find the slope of the line y=2x+7.,2,3,4,5,A
Mathematics,Find the slope of the line 3x+2y=6.,−3/2,−2/3,3/2,2/3,B
Mathematics,Find the x-intercept of y=2x+4.,−2,−1,2,3,A
Mathematics,Find the equation of the line with slope −3 and passing through (2,4).,y=−3x+10,y=−3x+4,y=−3x+2,y=3x−4,A
Mathematics,Find the coordinates of midpoint between (−1,2) and (5,8).,(2,5),(3,5),(2,6),(3,6),B
Mathematics,Find the equation of a line passing through (0,3) with gradient 4.,y=4x+3,y=4x−3,y=3x+4,y=3x−4,A
Mathematics,Find the equation of a line parallel to y=2x+3 passing through (1,2).,y=2x+1,y=2x−1,y=3x+1,y=3x−1,B
Mathematics,Find the gradient of the line perpendicular to y=−½x+3.,2,½,−2,−½,A
Mathematics,Find the distance between (3,4) and (6,8).,4,5,6,7,B
Mathematics,Find the midpoint of (−2,−2) and (4,4).,(1,1),(2,2),(3,3),(4,4),A
Mathematics,Find the slope of the line joining (−1,−2) and (3,2).,1,2,3,4,A
Mathematics,Find the equation of a line through (2,5) with slope 3.,y=3x−1,y=3x+1,y=2x−1,y=2x+1,A
Mathematics,Find the coordinates of the point dividing (2,4) and (10,8) in the ratio 1:3.,(4,5),(5,6),(6,7),(7,8),C
Mathematics,Find the distance between (1,1) and (4,5).,3,4,5,6,C
Mathematics,Find the midpoint between (−4,3) and (2,7).,(−1,5),(−1,6),(0,5),(0,6),A
Mathematics,Find the equation of a line with gradient 2 and passing through (−1,3).,y=2x+5,y=2x−5,y=2x+3,y=2x−3,A
Mathematics,Find the x-intercept of y=−3x+6.,2,3,4,6,A
Mathematics,Find the gradient of the line y=5−2x.,−2,−½,2,½,A
Mathematics,Find the y-intercept of the line y=−3x+9.,3,6,9,12,C
Mathematics,Find the coordinates of the midpoint between (6,−2) and (2,6).,(3,2),(4,2),(4,1),(3,1),B
Mathematics,Find the equation of a line perpendicular to y=2x+1 passing through (0,2).,y=−½x+2,y=½x+2,y=2x+1,y=−2x+1,A
Mathematics,Find the distance between (0,0) and (−5,12).,10,12,13,15,C
Mathematics,Find the slope of a line parallel to y=3x+7.,1,2,3,4,C
Mathematics,Find the equation of a line parallel to y=−2x+3 and passing through (1,5).,y=−2x+7,y=−2x−7,y=2x+7,y=2x−7,A
Mathematics,Find the gradient of the line joining (2,4) and (−2,−8).,2,3,4,5,A
Mathematics,Find the coordinates of midpoint between (1,2) and (7,8).,(4,5),(5,5),(5,6),(6,6),A
Mathematics,Find the slope of the line through (2,−3) and (6,5).,1,2,3,4,B
Mathematics,Find the y-intercept of y=−2x+8.,2,4,6,8,D
Mathematics,Find the distance between (−3,4) and (4,−3).,7,8,9,10,D
Mathematics,Find the midpoint between (−2,6) and (8,2).,(3,3),(4,4),(4,5),(5,5),B
Mathematics,Find the equation of a line with gradient ½ through (2,4).,y=½x+3,y=½x+2,y=½x+1,y=½x−1,B
Mathematics,Find the slope of the line joining (−1,5) and (4,−10).,−2,−3,−4,−5,A
Mathematics,Find the distance between (−6,8) and (6,8).,10,12,14,15,C
Mathematics,Find the equation of line passing through (3,2) with slope 4.,y=4x−10,y=4x+10,y=3x−10,y=3x+10,A
Mathematics,Find the coordinates of midpoint between (0,−5) and (6,5).,(3,0),(3,5),(2,4),(4,5),A
Mathematics,Find slope of the line y=−x+7.,−1,1,0,2,A
Mathematics,Find the y-intercept of y=5x−10.,−10,−5,5,10,A
Mathematics,Find the slope of the line 2x−3y+6=0.,3/2,−2/3,−3/2,2/3,B
Mathematics,Find the distance between (5,5) and (9,12).,5,6,7,8,B
Mathematics,Find midpoint of (3,−1) and (−3,5).,(0,2),(0,3),(0,4),(0,5),A
Mathematics,Find slope of the line joining (1,−2) and (3,6).,3,4,5,6,B
Mathematics,Find the coordinates of midpoint between (−5,−1) and (7,3).,(1,1),(2,2),(3,3),(4,4),B
Mathematics,Find the equation of a line parallel to y=3x−5 passing through (0,2).,y=3x+2,y=3x−2,y=2x−5,y=−3x+2,A
Mathematics,Find the x-intercept of y=−2x+4.,1,2,3,4,B
Subject,Question,Option A,Option B,Option C,Option D,Answer
Mathematics,The sum of two numbers is 20 and one is twice the other. Find the numbers.,5 and 15,6 and 12,8 and 12,7 and 13,A
Mathematics,The sum of two consecutive even numbers is 26. Find the numbers.,12 and 14,10 and 16,8 and 18,14 and 12,A
Mathematics,If 5x + 3 = 23 find x.,3,4,5,6,B
Mathematics,If 3x – 4 = 11 find x.,4,5,6,7,C
Mathematics,If 4x + 7 = 19 find x.,2,3,4,5,B
Mathematics,If twice a number added to 5 gives 15, find the number.,3,4,5,6,B
Mathematics,Find x if 3(x – 2) = 9.,2,3,4,5,C
Mathematics,Find x if 2x + 3 = 7.,1,2,3,4,B
Mathematics,Find x if 4x – 5 = 15.,4,5,6,7,C
Mathematics,The sum of three consecutive odd numbers is 27. Find the numbers.,7,9,11 and 13,5,7,9,9,11,13,11,13,15,B
Mathematics,The perimeter of a rectangle is 24 cm. If its length is 8 cm, find its breadth.,3,4,5,6,B
Mathematics,The area of a rectangle is 48 cm² and length is 12 cm. Find its breadth.,3,4,5,6,B
Mathematics,A car travels 120 km in 3 hours. Find its speed.,30 km/h,40 km/h,50 km/h,60 km/h,B
Mathematics,Find the time taken to cover 200 km at 50 km/h.,2 h,3 h,4 h,5 h,C
Mathematics,A train moves at 60 km/h for 2 hours. Find the distance covered.,100 km,110 km,120 km,130 km,C
Mathematics,Find the simple interest on ₦5000 at 10% per annum for 3 years.,₦1000,₦1200,₦1500,₦2000,C
Mathematics,Find the principal if interest is ₦400 at 8% per annum for 2 years.,₦2000,₦2500,₦3000,₦4000,B
Mathematics,Find the time when ₦1000 gives ₦200 interest at 10% per annum.,1 yr,2 yrs,3 yrs,4 yrs,B
Mathematics,Find the rate if ₦600 earns ₦60 in 2 years.,2%,3%,5%,10%,D
Mathematics,The sum of money doubles in 5 years. Find the rate.,10%,15%,20%,25%,C
Mathematics,A pipe fills a tank in 4 hours, another in 6 hours. Find time to fill together.,1.5 h,2.4 h,2.5 h,3 h,B
Mathematics,A pipe fills a tank in 3 h, another empties it in 6 h. Time to fill it?,4 h,5 h,6 h,7 h,A
Mathematics,If 4 men dig a trench in 6 days, how long will 8 men take?,2 days,3 days,4 days,5 days,B
Mathematics,If 5 men complete a job in 8 days, how long will 10 men take?,2,3,4,5,C
Mathematics,Two taps fill a tank in 8 h and 12 h respectively. Time to fill together?,3 h,4.8 h,5 h,6 h,B
Mathematics,A car travels 60 km/h for 2 hours and 40 km/h for 3 hours. Find average speed.,48 km/h,50 km/h,52 km/h,54 km/h,B
Mathematics,The average of 5 numbers is 12. Find their sum.,55,56,60,65,C
Mathematics,The average of 10 numbers is 20. If one is 30, find the new average.,20,21,22,23,B
Mathematics,The total cost of 5 books is ₦250. Find cost per book.,₦40,₦45,₦50,₦55,C
Mathematics,Find the selling price if cost = ₦800 and profit = 20%.,₦900,₦960,₦1000,₦1100,C
Mathematics,Find the cost price if selling price = ₦600 and profit = 20%.,₦400,₦450,₦500,₦550,C
Mathematics,Find the loss percent if cost = ₦500 and selling price = ₦400.,10%,15%,20%,25%,C
Mathematics,Find the profit if cost = ₦300 and selling price = ₦360.,₦50,₦55,₦60,₦65,C
Mathematics,Find the cost price if loss = ₦50 and selling price = ₦250.,₦250,₦280,₦300,₦350,C
Mathematics,Find the percentage increase from 80 to 100.,15%,20%,25%,30%,C
Mathematics,Find the percentage decrease from 100 to 80.,10%,15%,20%,25%,C
Mathematics,If 20% of x = 60, find x.,250,275,280,300,D
Mathematics,A man spends 30% of ₦2000 on food. Find how much he spends.,₦400,₦500,₦600,₦700,C
Mathematics,A man invested ₦4000 at 5% for 2 years. Find the interest.,₦200,₦300,₦400,₦500,C
Mathematics,A trader bought goods for ₦5000 and sold them for ₦6000. Find % profit.,10%,15%,20%,25%,C
Mathematics,A man earns ₦20000 and spends ₦15000. Find his saving percentage.,15%,20%,25%,30%,C
Mathematics,If 10 men complete a job in 6 days, how long for 15 men?,3,4,5,6,C
Mathematics,A car moves at 90 km/h. Find distance in 2½ hours.,180,200,220,225,D
Mathematics,A man travels 120 km in 2 hours. Find his speed.,50,55,60,65,C
Mathematics,The mean of 8,10,12 is?,8,9,10,11,D
Mathematics,A worker is paid ₦12000 for 8 days. Find his daily wage.,₦1000,₦1200,₦1500,₦2000,B
Mathematics,Find x if 4x + 6 = 18.,2,3,4,5,C
Mathematics,Find two numbers whose sum is 25 and difference 5.,10 and 15,12 and 13,11 and 14,9 and 16,A
Mathematics,The sum of three consecutive integers is 72. Find the numbers.,23,24,25,22,23,24,21,22,23,24,25,26,A
Mathematics,If 3 pencils cost ₦15, find cost of 5 pencils.,₦20,₦25,₦30,₦35,B
Mathematics,If 8 workers build a wall in 6 days, how long for 4 workers?,8,10,12,14,C
Mathematics,If x + 2y = 10 and x = 4 find y.,2,3,4,5,B
Mathematics,Find the number which when added to twice itself gives 21.,6,7,8,9,B
Mathematics,Find the two consecutive odd numbers whose sum is 36.,17 and 19,15 and 17,13 and 15,19 and 21,A
Mathematics,Find the time taken to travel 180 km at 60 km/h.,2,3,4,5,Bss
Mathematics,If f(x)=2x+3 find f(2).,5,6,7,8,C
Mathematics,If f(x)=3x–4 find f(5).,10,11,12,13,B
Mathematics,If f(x)=x²+1 find f(3).,7,8,9,10,B
Mathematics,If f(x)=2x² find f(4).,12,14,16,18,C
Mathematics,If f(x)=x²–2x find f(5).,10,12,15,20,A
Mathematics,If f(x)=x²+2x–3 find f(2).,3,4,5,6,A
Mathematics,If f(x)=x/2+3 find f(4).,4,5,6,7,B
Mathematics,If f(x)=2x–1 find f(–3).,–6,–7,–8,–5,B
Mathematics,If f(x)=x² find f(–2).,2,3,4,5,C
Mathematics,If f(x)=3x–2 and x=4 find f(x).,8,9,10,11,C
Mathematics,If f(x)=x²–3x find f(–2).,8,10,12,14,A
Mathematics,If f(x)=x²–2x+1 find f(3).,2,3,4,5,C
Mathematics,If f(x)=x³ find f(–2).,–4,–6,–8,–10,C
Mathematics,If f(x)=x²+4x+4 find f(–1).,0,1,2,3,A
Mathematics,If f(x)=2x²–3x+1 find f(2).,3,4,5,6,B
Mathematics,If f(x)=x²–4 and f(3)=?,2,3,5,6,B
Mathematics,If f(x)=x³–x² find f(2).,2,3,4,6,D
Mathematics,If f(x)=2x+5 find x when f(x)=13.,3,4,5,6,B
Mathematics,If f(x)=3x–7 find x when f(x)=5.,3,4,5,6,B
Mathematics,If f(x)=x²+3x–10 find f(–2).,0,–2,–4,2,B
Mathematics,If f(x)=x²–x–6 find f(–2).,12,8,6,4,B
Mathematics,If f(x)=x²+2x find x when f(x)=12.,2,3,4,5,C
Mathematics,If f(x)=3x+4 find inverse f⁻¹(x).,(x–4)/3,(x+4)/3,(x–3)/4,(x+3)/4,A
Mathematics,If f(x)=2x+5 find inverse f⁻¹(x).,(x–5)/2,(x+5)/2,(x–2)/5,(x+2)/5,A
Mathematics,If f(x)=3x–2 find f⁻¹(x).,(x+2)/3,(x–2)/3,(x+3)/2,(x–3)/2,A
Mathematics,If f(x)=x+4 find f⁻¹(x).,x–4,x+4,–x+4,–x–4,A
Mathematics,If f(x)=2x–1 find f⁻¹(x).,(x+1)/2,(x–1)/2,2x–1,2x+1,A
Mathematics,If f(x)=x/3 find f⁻¹(x).,3x,x/3,x/2,2x,A
Mathematics,If f(x)=5x find f⁻¹(x).,x/5,5x,1/5x,5/x,A
Mathematics,If f(x)=x² find f⁻¹(x).,√x,–√x,x²,–x²,A
Mathematics,If f(x)=3x+1 and g(x)=x–1 find (f∘g)(x).,3x–2,3x+2,2x–3,2x+3,A
Mathematics,If f(x)=x² and g(x)=x+1 find (f∘g)(x).,x²+1,x²+2x+1,x²+x+1,x²–x+1,B
Mathematics,If f(x)=2x and g(x)=x–1 find (f∘g)(x).,2x–2,2x–1,2x+1,2x+2,A
Mathematics,If f(x)=x+2 and g(x)=x² find (g∘f)(x).,x²+2x+4,x²+4x+4,x²+2x+2,x²+3x+4,A
Mathematics,If f(x)=3x–1 and g(x)=x² find (f∘g)(2).,11,10,12,14,A
Mathematics,If f(x)=x²–2 and g(x)=x–3 find (f∘g)(5).,4,5,6,7,B
Mathematics,If f(x)=x² and g(x)=x+2 find (g∘f)(3).,9,11,13,15,B
Mathematics,If f(x)=2x and g(x)=x–4 find (f∘g)(x).,2x–4,2x–8,2x+4,2x+8,B
Mathematics,If f(x)=x² and g(x)=x+3 find (f∘g)(x).,x²+6x+9,x²+9x+3,x²+3x+9,x²+3x+3,A
Mathematics,If f(x)=3x–4 and g(x)=x+1 find (g∘f)(x).,3x–3,3x–2,3x–1,3x–4,B
Mathematics,If f(x)=x² and g(x)=x–2 find (f∘g)(x).,x²–4x+4,x²–2x+4,x²–4x+2,x²–2x+2,A
Mathematics,If f(x)=2x–3 and g(x)=x+2 find (f∘g)(4).,5,6,7,8,D
Mathematics,If f(x)=x²–3x and g(x)=x+1 find (f∘g)(2).,0,1,2,3,B
Mathematics,If f(x)=3x–2 find x when f(x)=10.,3,4,5,6,C
Mathematics,If f(x)=x²–5x+6 find x when f(x)=0.,1,2,3,4,B
Mathematics,If f(x)=x²–4x find x when f(x)=0.,0 or 4,2 or 3,1 or 2,4 or 5,A
Mathematics,If f(x)=x²–2x–3 find roots of f(x)=0.,–1,3,1,4,–1 and 3,A
Mathematics,If f(x)=x²–6x+9 find x when f(x)=0.,1,2,3,4,C
Mathematics,If f(x)=x²–9 find zeros of f(x).,–3 and 3,–2 and 2,–1 and 1,0 and 3,A
Mathematics,If f(x)=x²–x–12 find x-intercepts.,–3 and 4,–4 and 3,–2 and 6,–6 and 2,A
Mathematics,If f(x)=x²–4x+3 find minimum value.,–2,–1,0,1,C
Mathematics,If f(x)=x²–2x+1 find its vertex.,(1,0),(2,0),(1,1),(0,1),A
Mathematics,If f(x)=x²–4x+4 find axis of symmetry.,x=2,x=3,x=4,x=1,A
Mathematics,If f(x)=x²+2x+1 find its minimum value.,0,1,2,3,A
Mathematics,If f(x)=x²–6x+5 find the axis of symmetry.,x=2,x=3,x=4,x=5,B
Mathematics,If f(x)=x²–4x+5 find the minimum value.,1,2,3,4,A
Mathematics,If f(x)=x²–2x–8 find the zeros.,–2 and 4,–4 and 2,–1 and 3,–3 and 1,A
Mathematics,If f(x)=x²–x–6 find minimum value.,–9,–8,–7,–6,A
Mathematics,If f(x)=x²–5x+6 find its range.,y≥–1,y≥0,y≥1,y≥2,B
Mathematics,If f(x)=x²–2x+2 find its vertex.,(1,1),(2,1),(1,2),(2,2),A
Mathematics,If f(x)=x²–4x find the range.,y≥–4,y≥0,y≥1,y≥2,A
Mathematics,If f(x)=x²–2x–3 find its vertex.,(1,–4),(2,–5),(1,–2),(2,–4),A
Mathematics,If f(x)=x²–2x+1 find axis of symmetry.,x=1,x=2,x=3,x=4,A
Mathematics,If f(x)=x²–4x+2 find vertex.,(2,–2),(1,–1),(2,2),(1,1),A
Mathematics,If f(x)=x²–2x find vertex.,(1,–1),(2,–2),(1,1),(2,1),A
Mathematics,If f(x)=x²–x–2 find roots.,–1 and 2,–2 and 1,–3 and 3,–4 and 4,A
Mathematics,If f(x)=x²–3x+2 find zeros.,1 and 2,2 and 3,3 and 4,4 and 5,A
English,Choose the correctly spelt word.,Enviroment,Environment,Environmnt,Environmment,B
English,Choose the word that best completes the sentence: She has a good _____ of humor.,sense,scent,scene,sign,A
English,Choose the opposite of the underlined word: The boy was *polite*.,rude,gentle,kind,quiet,A
English,Choose the synonym of the underlined word: The task was *difficult*.,easy,hard,simple,light,B
English,Choose the correctly spelt word.,Recieve,Receive,Receeve,Recive,B
English,Choose the correct word: The cat chased _____ tail.,it,its,it's,its',B
English,Choose the correct option: The teacher praised the boys for _____ punctual.,been,being,be,been,A
English,Choose the opposite of *ancient*.,old,modern,antique,aged,B
English,Choose the synonym of *brief*.,long,short,tall,wide,B
English,Choose the correctly spelt word.,Occurence,Occurrence,Ocurence,Occurencee,B
English,Choose the appropriate word: The plane will take _____ at noon.,off,up,on,away,A
English,Choose the correct option: The bag belongs to _____.,I,me,myself,my,B
English,Choose the correct synonym of *enormous*.,tiny,huge,small,weak,B
English,Choose the correct antonym of *arrival*.,coming,departure,visit,entrance,B
English,Choose the correctly spelt word.,Adress,Address,Adreess,Addres,B
English,Choose the correct word: The boy fell _____ the river.,into,onto,in,on,A
English,Choose the correct option: The sun rises in the _____.,west,east,north,south,B
English,Choose the word that best completes the sentence: She sings _____.,sweet,sweetly,sweety,sweetness,B
English,Choose the opposite of *victory*.,loss,defeat,win,failure,B
English,Choose the synonym of *fortunate*.,happy,lucky,grateful,thankful,B
English,Choose the correctly spelt word.,Seperate,Separate,Seperete,Seperrate,B
English,Choose the correct option: The book is lying _____ the table.,in,on,at,under,B
English,Choose the correct option: He is older _____ I am.,than,then,that,those,A
English,Choose the correct word: The man _____ the bell.,rang,run,ring,rung,A
English,Choose the opposite of *love*.,like,hate,admire,care,B
English,Choose the correct synonym of *silent*.,quiet,noisy,loud,shouting,A
English,Choose the correctly spelt word.,Febuary,February,Febraury,Februery,B
English,Choose the correct option: The train will arrive _____ 6 o’clock.,in,on,at,by,C
English,Choose the correct word: She divided the cake _____ her children.,between,among,with,to,B
English,Choose the correct synonym of *beautiful*.,ugly,handsome,pretty,bad,C
English,Choose the opposite of *strong*.,weak,sturdy,powerful,tough,A
English,Choose the correctly spelt word.,Definately,Definetly,Definitely,Definatelye,C
English,Choose the correct option: The man walked _____ the room quietly.,into,onto,on,in,A
English,Choose the correct synonym of *brave*.,cowardly,fearful,bold,weak,C
English,Choose the opposite of *victory*.,defeat,success,achievement,glory,A
English,Choose the correctly spelt word.,Occassion,Occasion,Ocassion,Occasson,B
English,Choose the correct word: The children are playing _____ the garden.,in,on,at,by,A
English,Choose the correct synonym of *tired*.,sleepy,weak,exhausted,rested,C
English,Choose the opposite of *easy*.,hard,soft,simple,light,A
English,Choose the correctly spelt word.,Accomodation,Accommodation,Acommodation,Accomadation,B
English,Choose the correct option: The dog ran _____ the street.,across,through,along,by,A
English,Choose the correct synonym of *angry*.,furious,glad,pleased,joyful,A
English,Choose the opposite of *beginning*.,start,opening,end,initiation,C
English,Choose the correctly spelt word.,Comittee,Committee,Committie,Comittee,B
English,Choose the correct word: The man drove _____ the tunnel.,into,onto,on,across,A
English,Choose the synonym of *happy*.,sad,cheerful,angry,unhappy,B
English,Choose the opposite of *buy*.,sell,exchange,give,borrow,A
English,Choose the correctly spelt word.,Governement,Government,Governmant,Governement,B
English,Choose the correct option: The boy jumped _____ the wall.,over,above,through,into,A
English,Choose the correct synonym of *clever*.,stupid,brilliant,dull,foolish,B
English,Choose the opposite of *empty*.,vacant,filled,blank,hollow,B
English,Choose the correct option: He _____ going to school today.,is,are,am,were,A
English,Choose the correct sentence.,She don’t like rice.,She doesn’t likes rice.,She doesn’t like rice.,She don’t likes rice.,C
English,Choose the correct option: The boys _____ playing football.,is,was,are,has,C
English,Choose the correct tense: By this time tomorrow, we _____ the test.,will take,will have taken,take,took,B
English,Choose the correct form: The man _____ here yesterday.,come,came,comes,coming,B
English,Choose the correct question tag: She is kind, _____?,is she,isn’t she,was she,has she,B
English,Choose the correct word: Ade and Bola _____ gone home.,has,have,is,was,B
English,Choose the correct option: He _____ a car last week.,buys,buy,bought,buying,C
English,Choose the correct pronoun: This pen is _____.,my,mine,me,I,B
English,Choose the correct preposition: The cat jumped _____ the chair.,on,at,over,into,A
English,Choose the correct option: They _____ in Lagos for ten years.,live,are living,have lived,has lived,C
English,Choose the correct form: The teacher made the students _____ the class.,cleaned,clean,cleans,cleaning,B
English,Choose the correct sentence: The children are _____ to school.,go,goes,going,gone,C
English,Choose the correct tense: The letter _____ yesterday.,was posted,posted,is posted,posting,A
English,Choose the correct option: If he _____ harder, he will pass.,studies,study,studied,studying,A
English,Choose the correct form: She _____ here before.,was,has been,had,have,B
English,Choose the correct sentence: The baby _____ since morning.,cry,cries,has been crying,cried,C
English,Choose the correct option: He is taller _____ I am.,than,then,that,those,A
English,Choose the correct tense: I _____ a book when she came in.,read,was reading,reading,reads,B
English,Choose the correct option: They _____ the house before we arrived.,left,leave,leaves,leaving,A
English,Choose the correct form: He _____ to the market every Saturday.,go,goes,going,gone,B
English,Choose the correct option: The woman _____ cooking when I arrived.,is,was,were,be,B
English,Choose the correct tense: The teacher _____ us next week.,teach,teaching,will teach,teached,C
English,Choose the correct option: The boy _____ his homework before dinner.,had done,has done,does,doing,A
English,Choose the correct option: She _____ a song now.,sings,sang,is singing,sung,C
English,Choose the correct pronoun: The book belongs to _____.,she,her,hers,he,C
English,Choose the correct option: I have not seen him _____ Monday.,since,for,from,at,A
English,Choose the correct article: He bought _____ orange.,a,an,the,that,B
English,Choose the correct conjunction: He came _____ he was invited.,because,although,unless,if,A
English,Choose the correct option: He can neither read _____ write.,and,or,nor,but,C
English,Choose the correct tense: When I arrived, they _____ already left.,has,had,have,was,B
English,Choose the correct sentence: The books on the table _____ mine.,is,was,are,be,C
English,Choose the correct form: I am not interested _____ that.,on,in,at,with,B
English,Choose the correct option: The man _____ by the police.,is arrest,was arrested,were arrested,has arrest,B
English,Choose the correct question tag: You are coming, _____?,aren’t you,are you,isn’t you,won’t you,A
English,Choose the correct tense: He _____ breakfast before 8 a.m. every day.,take,took,takes,taking,C
English,Choose the correct option: They _____ to Abuja last week.,go,going,went,goes,C
English,Choose the correct pronoun: This car is _____.,her,hers,she,he,B
English,Choose the correct option: The children _____ playing now.,was,were,are,is,C
